ID,Population,BS
MB221,MY Island M,3.7
MB222,MY Island M,3.8
MB223,MY Island M,4.3
MB224,MY Island M,3.875
MB225,MY Island M,3.45
MB226,MY Island M,4
MB227,MY Island M,4.275
MB228,MY Island M,4.05
MB229,MY Island M,4.25
MB230,MY Island M,3.85
MB231,MY Island M,4
MB232,MY Island M,3.95
MB233,MY Island M,3.6
MB234,MY Island M,4.1
MB235,MY Island M,4
MB236,MY Island M,4
MB237,MY Island M,4.175
MB238,MY Island M,3.6
MB239,MY Island M,4.15
MB240,MY Island M,3.775
MB241,MY Island M,3.625
MB242,MY Island M,4.125
MB243,MY Island M,4
MB244,MY Island M,4.2
MB245,MY Island M,3.55
MB247,MY Island M,3.9
MB248,MY Island M,3.4
MB249,MY Island M,4.125
MB250,MY Island M,3.6
MB251,MY Island M,4.225
MB252,MY Island M,4.325
MB253,MY Island M,4.175
MB254,MY Island M,3.925
MB255,MY Island M,4
MB256,MY Island M,3.925
MB257,MY Island M,3.95
MB258,MY Island M,4.175
MB259,MY Island M,4.05
MB260,MY Island M,4.025
MB261,MY Island M,4.05
MB262,MY Island M,4.425
MB263,MY Island M,4
MB264,MY Island M,4.175
MB265,MY Island M,3.925
MB266,MY Island M,4.125
MB267,MY Island M,3.825
MB268,MY Island M,4.25
MB269,MY Island M,4
MB270,MY Island M,4.05
MB271,MY Island M,3.8
MB272,MY Island M,3.85
MB273,MY Island M,3.75
MB274,MY Island M,3.375
MB275,MY Island M,4.125
MB276,MY Island M,3.35
MB277,MY Island M,4.05
MB281,MY Island M,4.275
MB282,MY Island M,4.3
MB283,MY Island M,4.15
MB284,MY Island M,4.2
MB285,MY Island M,3.925
MB286,MY Island M,3.55
MB287,MY Island M,3.85
MB288,MY Island M,3.725
MB289,MY Island M,4.1
MB290,MY Island M,4.45
MB291,MY Island M,4.1
MB292,MY Island M,4.35
MB293,MY Island M,4.075
MB294,MY Island M,4.2
MB295,MY Island M,4.125
MB296,MY Island M,3.75
MB297,MY Island M,4.05
MB298,MY Island M,3.925
MB300,MY Island M,3.95
MB301,MY Island M,4.05
MB302,MY Island M,4.3
MB303,MY Island M,4.1
MB304,MY Island M,4.275
MB305,MY Island M,3.7
MB306,MY Island M,3.9
MB307,MY Island M,3.925
MB308,MY Island M,3.4
MB309,MY Island M,4.175
MB310,MY Island M,4
MB311,MY Island M,4.225
MB312,MY Island M,3.5
MB313,MY Island M,3.7
MB314,MY Island M,3.5
MB315,MY Island M,4.2
MB316,MY Island M,3.725
MB317,MY Island M,4.05
MB318,MY Island M,3.9
MB319,MY Island M,3.95
MB320,MY Island M,4.4
MB321,MY Island M,3.9
MB322,MY Island M,4.2
MB323,MY Island M,3.65
MB324,MY Island M,3.8
MB325,MY Island M,3.4
MB326,MY Island M,3.875
MB327,Kenyir M,3.4
MB328,Kenyir M,3.425
MB329,Kenyir M,3.875
MB330,Kenyir M,3.525
MB332,Kenyir M,3.85
MB333,Kenyir M,3.6
MB334,Kenyir M,4.05
MB335,Kenyir M,3.975
MB336,Kenyir M,3.725
MB337,MY Island M,3.95
MB338,MY Island M,3.95
MB343,MY Island M,4.175
B337,MY Island F,4.3
B338,MY Island F,4
B339,MY Island F,3.9
B340,MY Island F,3.9
B341,MY Island F,3.95
B342,MY Island F,4.025
B343,MY Island F,3.95
B344,MY Island F,4.1
B360,MY Island F,3.725
B361,MY Island F,3.6
B362,MY Island F,3.95
B363,MY Island F,3.775
B364,MY Island F,3.85
B365,MY Island F,3.425
B366,MY Island F,3.6
B367,MY Island F,3.5
B368,MY Island F,3.45
MB19,MY Island F,3.875
MB20,MY Island F,4.1
MB21,MY Island F,3.9
MB22,MY Island F,4.125
MB23,MY Island F,4.275
MB24,MY Island F,3.475
MB25,MY Island F,4.325
MB26,MY Island F,3.7
MB27,MY Island F,4.2
MB28,MY Island F,3.75
MB29,MY Island F,3.425
MB30,MY Island F,4.05
MB31,MY Island F,3.3
MB32,MY Island F,4
MB33,MY Island F,3.75
MB34,MY Island F,4.35
MB35,MY Island F,4.175
MB36,MY Island F,3.925
MB37,MY Island F,4.225
MB38,MY Island F,3.85
MB39,MY Island F,4.05
MB40,MY Island F,3.65
MB41,MY Island F,4.125
MB42,MY Island F,4.2
MB43,MY Island F,3.775
MB44,MY Island F,3.825
MB45,MY Island F,3.65
MB46,MY Island F,4.1
MB47,MY Island F,3.85
MB48,MY Island F,4.1
MB49,MY Island F,3.675
MB50,MY Island F,3.55
MB51,MY Island F,4.2
MB52,MY Island F,4.05
MB53,MY Island F,4
MB54,MY Island F,3.875
MB55,MY Island F,3.6
MB56,MY Island F,4.2
MB57,MY Island F,3.95
MB59,MY Island F,4.225
MB60,MY Island F,4.1
MB61,MY Island F,4.05
MB62,MY Island F,3.9
MB63,MY Island F,4.2
MB64,MY Island F,3.65
MB65,MY Island F,3.1
MB66,MY Island F,3.7
MB67,MY Island F,3.2
MB68,MY Island F,3.975
MB69,MY Island F,3.9
MB70,MY Island F,4.2
MB71,MY Island F,3.85
MB72,MY Island F,3.075
MB73,MY Island F,4.2
MB74,MY Island F,3.8
MB75,MY Island F,3.75
MB76,MY Island F,3.625
MB77,MY Island F,3.725
MB78,MY Island F,4
MB79,MY Island F,4.2
MB80,MY Island F,3.15
MB81,MY Island F,3.9
MB82,MY Island F,3.95
MB83,MY Island F,3.925
MB84,MY Island F,3.925
MB85,MY Island F,3.575
MB86,MY Island F,4.1
MB88,MY Island F,3.95
MB89,MY Island F,4.35
MB90,MY Island F,4.2
MB91,MY Island F,3.65
MB92,MY Island F,4.2
MB93,MY Island F,4
MB94,MY Island F,3.9
MB95,MY Island F,4
MB96,MY Island F,3.9
MB97,MY Island F,3.75
MB98,MY Island F,4.2
MB99,MY Island F,4.225
MB100,MY Island F,4.15
MB101,MY Island F,3.275
MB102,MY Island F,3.85
MB103,MY Island F,3.95
MB104,MY Island F,3.875
MB105,MY Island F,3.95
MB106,MY Island F,3.8
MB107,MY Island F,3.6
MB108,MY Island F,4.2
MB109,MY Island F,3.75
MB110,MY Island F,4.1
MB111,MY Island F,3.9
MB112,MY Island F,3.7
MB113,MY Island F,3.85
MB114,MY Island F,3.95
MB115,MY Island F,3.95
MB116,MY Island F,4.125
MB117,MY Island F,4.075
MB118,MY Island F,3.95
MB119,MY Island F,4.025
MB120,MY Island F,3.55
MB121,MY Island F,3.8
MB122,MY Island F,3.775
MB123,MY Island F,3.7
MB124,MY Island F,3.85
MB125,MY Island F,4.1
MB126,MY Island F,4.075
MB127,MY Island F,3.85
MB128,MY Island F,3.65
MB129,MY Island F,3.075
MB130,MY Island F,4
MB131,MY Island F,3.2
MB132,MY Island F,3.5
MB133,MY Island F,4
MB134,MY Island F,3.95
MB135,MY Island F,2.9
MB136,MY Island F,3.825
MB137,MY Island F,2.85
MB138,MY Island F,3.95
MB139,MY Island F,3.975
MB140,MY Island F,3.3
MB141,MY Island F,3.85
MB142,MY Island F,3.5
