ID,Population,Sex,BodySize
MB77,MY Island F,F,3.725
MB78,MY Island F,F,4
MB79,MY Island F,F,4.2
MB80,MY Island F,F,3.15
MB81,MY Island F,F,3.9
MB82,MY Island F,F,3.95
MB83,MY Island F,F,3.925
MB84,MY Island F,F,3.925
MB85,MY Island F,F,3.575
MB86,MY Island F,F,4.1
MB88,MY Island F,F,3.95
MB89,MY Island F,F,4.35
MB90,MY Island F,F,4.2
MB91,MY Island F,F,3.65
MB92,MY Island F,F,4.2
MB93,MY Island F,F,4
MB94,MY Island F,F,3.9
MB95,MY Island F,F,4
MB96,MY Island F,F,3.9
MB97,MY Island F,F,3.75
MB98,MY Island F,F,4.2
MB99,MY Island F,F,4.225
MB100,MY Island F,F,4.15
MB101,MY Island F,F,3.275
MB102,MY Island F,F,3.85
MB103,MY Island F,F,3.95
MB104,MY Island F,F,3.875
MB105,MY Island F,F,3.95
MB106,MY Island F,F,3.8
MB107,MY Island F,F,3.6
MB108,MY Island F,F,4.2
MB109,MY Island F,F,3.75
MB110,MY Island F,F,4.1
MB111,MY Island F,F,3.9
MB112,MY Island F,F,3.7
MB113,MY Island F,F,3.85
MB114,MY Island F,F,3.95
MB115,MY Island F,F,3.95
MB116,MY Island F,F,4.125
MB117,MY Island F,F,4.075
MB118,MY Island F,F,3.95
MB119,MY Island F,F,4.025
MB120,MY Island F,F,3.55
MB121,MY Island F,F,3.8
MB122,MY Island F,F,3.775
MB123,MY Island F,F,3.7
MB124,MY Island F,F,3.85
MB125,MY Island F,F,4.1
MB126,MY Island F,F,4.075
MB127,MY Island F,F,3.85
MB128,MY Island F,F,3.65
MB129,MY Island F,F,3.075
MB130,MY Island F,F,4
MB131,MY Island F,F,3.2
MB132,MY Island F,F,3.5
MB133,MY Island F,F,4
MB134,MY Island F,F,3.95
MB135,MY Island F,F,2.9
MB136,MY Island F,F,3.825
MB137,MY Island F,F,2.85
MB138,MY Island F,F,3.95
MB139,MY Island F,F,3.975
MB140,MY Island F,F,3.3
MB141,MY Island F,F,3.85
MB142,MY Island F,F,3.5
MB143,MY Island F,F,3.025
MB144,MY Island F,F,4.05
MB145,MY Island F,F,3.875
MB146,MY Island F,F,3.5
MB147,MY Island F,F,3.85
MB148,MY Island F,F,3.2
MB149,MY Island F,F,3.575
MB150,MY Island F,F,3.45
MB151,MY Island F,F,3.4
MB152,MY Island F,F,3.225
MB153,MY Island F,F,3.45
MB154,MY Island F,F,3.5
MB155,MY Island F,F,3.6
MB156,MY Island F,F,3.5
MB157,MY Island F,F,4.25
MB158,MY Island F,F,3.525
MB159,MY Island F,F,3.8
MB160,MY Island F,F,3.6
MB161,MY Island F,F,3.3
MB162,MY Island F,F,3.75
MB163,MY Island F,F,3.9
MB164,MY Island F,F,2.95
MB165,MY Island F,F,3.65
MB166,MY Island F,F,4.15
MB167,MY Island F,F,3.575
MB168,MY Island F,F,3.275
MB169,MY Island F,F,3.6
MB170,MY Island F,F,3.025
MB171,MY Island F,F,3.975
MB172,MY Island F,F,3
MB173,MY Island F,F,4.05
MB174,MY Island F,F,4.1
MB175,MY Island F,F,3.675
MB176,MY Island F,F,3.55
MB177,MY Island F,F,4.175
MB178,MY Island F,F,3.65
MB179,MY Island F,F,3.85
MB180,MY Mainland F,F,3.95
MB181,MY Mainland F,F,4.125
MB182,MY Mainland F,F,3.7
MB183,MY Mainland F,F,4.275
MB184,MY Mainland F,F,3.025
MB185,MY Mainland F,F,3.675
MB186,MY Mainland F,F,4.1
MB187,MY Mainland F,F,3.7
MB188,MY Mainland F,F,3.8
MB278,MY Island F,F,3.95
MB280,MY Island F,F,4.25
MB342,MY Island F,F,4.1
MB190,MY Mainland M,M,3.4
MB191,MY Mainland M,M,3.55
MB192,MY Mainland M,M,4
MB193,MY Mainland M,M,3.725
MB194,MY Mainland M,M,3.8
MB195,MY Mainland M,M,4
MB196,MY Mainland M,M,3.95
MB197,MY Mainland M,M,3.85
MB198,MY Mainland M,M,3.8
MB199,MY Mainland M,M,3.75
MB200,MY Mainland M,M,3.4
MB201,MY Mainland M,M,3.45
MB202,MY Mainland M,M,3.5
MB203,MY Mainland M,M,3.2
MB204,MY Mainland M,M,4.1
MB205,MY Mainland M,M,3.8
MB206,MY Mainland M,M,3.85
MB207,MY Mainland M,M,3.75
MB208,MY Mainland M,M,3.8
MB209,MY Mainland M,M,3.925
MB210,MY Mainland M,M,4.025
MB211,MY Island M,M,4.05
MB212,MY Island M,M,4.2
MB213,MY Island M,M,4.25
MB214,MY Island M,M,3.875
MB215,MY Island M,M,3.85
MB216,MY Island M,M,3.725
MB217,MY Island M,M,3.65
MB218,MY Island M,M,3.85
MB219,MY Island M,M,3.375
MB220,MY Island M,M,4.25
MB221,MY Island M,M,3.7
MB222,MY Island M,M,3.8
MB223,MY Island M,M,4.3
MB224,MY Island M,M,3.875
MB225,MY Island M,M,3.45
MB226,MY Island M,M,4
MB227,MY Island M,M,4.275
MB228,MY Island M,M,4.05
MB229,MY Island M,M,4.25
MB230,MY Island M,M,3.85
MB231,MY Island M,M,4
MB232,MY Island M,M,3.95
MB233,MY Island M,M,3.6
MB234,MY Island M,M,4.1
MB235,MY Island M,M,4
MB236,MY Island M,M,4
MB237,MY Island M,M,4.175
MB238,MY Island M,M,3.6
MB239,MY Island M,M,4.15
MB240,MY Island M,M,3.775
MB241,MY Island M,M,3.625
MB242,MY Island M,M,4.125
MB243,MY Island M,M,4
MB244,MY Island M,M,4.2
MB245,MY Island M,M,3.55
MB246,MY Island M,M,3.55
MB247,MY Island M,M,3.9
MB248,MY Island M,M,3.4
MB249,MY Island M,M,4.125
MB250,MY Island M,M,3.6
MB251,MY Island M,M,4.225
MB252,MY Island M,M,4.325
MB253,MY Island M,M,4.175
MB254,MY Island M,M,3.925
MB255,MY Island M,M,4
MB256,MY Island M,M,3.925
MB257,MY Island M,M,3.95
MB258,MY Island M,M,4.175
MB259,MY Island M,M,4.05
MB260,MY Island M,M,4.025
MB261,MY Island M,M,4.05
MB262,MY Island M,M,4.425
MB263,MY Island M,M,4
MB264,MY Island M,M,4.175
MB265,MY Island M,M,3.925
MB266,MY Island M,M,4.125
MB267,MY Island M,M,3.825
MB268,MY Island M,M,4.25
MB269,MY Island M,M,4
MB270,MY Island M,M,4.05
MB271,MY Island M,M,3.8
MB272,MY Island M,M,3.85
MB273,MY Island M,M,3.75
MB274,MY Island M,M,3.375
MB275,MY Island M,M,4.125
MB276,MY Island M,M,3.35
MB277,MY Island M,M,4.05
MB281,MY Island M,M,4.275
MB282,MY Island M,M,4.3
MB283,MY Island M,M,4.15
MB284,MY Island M,M,4.2
MB285,MY Island M,M,3.925
MB286,MY Island M,M,3.55
MB287,MY Island M,M,3.85
MB288,MY Island M,M,3.725
MB289,MY Island M,M,4.1
MB290,MY Island M,M,4.45
MB291,MY Island M,M,4.1
MB292,MY Island M,M,4.35
MB293,MY Island M,M,4.075
MB294,MY Island M,M,4.2
MB295,MY Island M,M,4.125
MB296,MY Island M,M,3.75
MB297,MY Island M,M,4.05
MB298,MY Island M,M,3.925
MB299,MY Island M,M,3.675
MB300,MY Island M,M,3.95
MB301,MY Island M,M,4.05
MB302,MY Island M,M,4.3
MB303,MY Island M,M,4.1
MB304,MY Island M,M,4.275
MB305,MY Island M,M,3.7
MB306,MY Island M,M,3.9
MB307,MY Island M,M,3.925
MB308,MY Island M,M,3.4
MB309,MY Island M,M,4.175
MB310,MY Island M,M,4
MB311,MY Island M,M,4.225
MB312,MY Island M,M,3.5
MB313,MY Island M,M,3.7
MB314,MY Island M,M,3.5
MB315,MY Island M,M,4.2
MB316,MY Island M,M,3.725
MB317,MY Island M,M,4.05
MB318,MY Island M,M,3.9
MB319,MY Island M,M,3.95
MB320,MY Island M,M,4.4
MB321,MY Island M,M,3.9
MB322,MY Island M,M,4.2
MB323,MY Island M,M,3.65
MB324,MY Island M,M,3.8
MB325,MY Island M,M,3.4
MB326,MY Island M,M,3.875
MB327,MY Island M,M,3.4
MB328,MY Island M,M,3.425
MB329,MY Island M,M,3.875
MB330,MY Island M,M,3.525
MB332,MY Island M,M,3.85
MB333,MY Island M,M,3.6
MB334,MY Island M,M,4.05
MB335,MY Island M,M,3.975
MB336,MY Island M,M,3.725
MB337,MY Island M,M,3.95
MB338,MY Island M,M,3.95
MB339,MY Mainland M,M,4.025
MB340,MY Mainland M,M,3.8
MB341,MY Mainland M,M,3.5
MB343,MY Island M,M,4.175
